support_ticket_id,support_ticket_desc
11,"Payment gateway returning a 502 error at checkout. Tried incognito mode, cleared cache, tested on two different browsers, issue persists. My Visa debit card is showing a pre-authorization hold of $89.99 but the order was never confirmed and no order ID was generated. Transaction reference from my bank statement is TXN8821047. Is this a gateway timeout on your end or a merchant-side failure? I need either an order confirmation or the pre-auth hold released within 24 hours otherwise I will dispute the charge with my bank."
12,So I was just browsing the app and added a few things to my cart and then I figured why not just go ahead and order and so I did and I got a confirmation email right away which was great and I was pretty excited and then the next day I checked the app and it said processing and then the day after that it still said processing and now it has been almost five days and it is still just sitting there saying processing and my friend said maybe the item went out of stock but then why did you even let me complete the order and charge my card and also that money is just tied up now and what if I need it for something else and I have ordered from here before with no issues so I really do not know what is different this time
13,Order SNX-8833 not delivered. Seven days past estimated delivery date. No update in the app. Requesting a full refund.
14,i orderd a lenovo latop order no SNX-441 it arived yestrday but the charjer is mising from the box. i ned the charjer sent asap or i will rtrn the hole thing. pls do smthing quick its for wrk
15,😡😡 WORST EXPERIENCE EVER ordered 10 days ago still NOTHING!! tracking has said out for delivery for THREE days straight 🤦 called support twice zero help agent was rude asked for a supervisor and was told not available 😤 order SNX-7721 OnePlus phone NEED IT NOW or CANCEL and FULL REFUND 💸💸
16,"To Whom It May Concern, I am writing this formal communication to bring to your attention a matter of considerable concern regarding a transaction completed on your platform on the 14th of this month. I have been a registered ShopNest customer for several years and have completed numerous transactions without incident. I consider myself a diligent and detail-oriented consumer and have retained all relevant documentation including the original order confirmation, payment receipt, delivery confirmation, and photographic evidence which I am prepared to submit upon request. I have deliberately refrained from posting publicly about this matter as I prefer to resolve disputes through proper channels, though I reserve the right to escalate if necessary. The core issue is this: Order reference SNX-5502 for one LG 22 cubic foot French door refrigerator was delivered on the confirmed date, however upon inspection the unit delivered is a 19 cubic foot model and not the 22 cubic foot model I ordered and paid for. The price difference is approximately $340. I am requesting either an immediate replacement with the correct model or a refund of the price differential."
17,I already submitted a complaint about this last week. I have a ticket number somewhere but I cannot find it right now. Nobody followed up with me. I am submitting again. Same issue as before. Please look up my account and check the previous case. My order involves the headphones I ordered last month.
18,Your DoorDash driver was over an hour late and my food arrived completely cold. The driver never called or knocked. I want a full refund for the entire order. I ordered a burger combo and two drinks. Extremely disappointed with this service.
19,"First I just want to say I genuinely love ShopNest and have been a customer for years. Your app is intuitive, delivery is usually really fast, and the return process has always been seamless. Your support team has been incredibly helpful in the past and I have recommended this platform to pretty much everyone in my neighborhood. That said I do want to flag one issue. Order SNX-1142 for a range hood was placed nine days ago. There has been no delivery and no update whatsoever. Tracking shows it left the warehouse eight days ago and has not moved since. That is all - just hoping someone can look into it."
20,my order for the blue jacket still hasnt arrived. i think i placed it last tuesday or wednesday. i dont have the order number handy but it was somewhere around $65 or $70 i think. can someone check and let me know what is going on
21,"I work in software so I have a reasonable understanding of how inventory systems work and what happened here is clearly a stock management failure on your end. Your system showed the item as in stock. I placed the order. My card was charged. A confirmation was sent. Then six hours later I received an automated cancellation email citing stock unavailability. If the item was not available your system should not have listed it as in stock - this is basic inventory hygiene. Furthermore the refund has not posted after five business days. Per your own published policy the refund SLA is three to five business days. We are now past that window. Order SNX-0032 cancelled, $249.99 not refunded. Requesting immediate escalation to your billing team."
22,hi I ordered a blender order number SNX-6644 and it was delivered yesterday but when I opened the box the glass jar was cracked and there was also a visible dent on the base of the unit and I tried to use it anyway but it is making a really loud grinding noise and honestly I am scared to keep using it in case it breaks further or causes an injury so I want to return it and get a replacement sent but the return window says 10 days and I want to make sure I am still within that window because I really do not want to be stuck with a broken appliance that showed up damaged right out of the box
23,SNX-3301. DOA unit. Need RMA issued. Escalate to L2. Already past SLA window.
24,"You know what I am just going to say it. I have never in my life had to fight this hard just to get something I already paid for. Your app promised two day delivery. It has been eight days. I have screenshots. Your chatbot gave me three completely different delivery dates. Your support email told me to contact the seller. The seller told me to contact ShopNest. You told me to contact the seller. Around and around we go. This is textbook buck-passing and it is completely unacceptable behavior from a company of your size. I have already filed a complaint with the FTC and I have spoken with a consumer rights attorney who confirmed I have grounds to pursue damages for this level of negligence. Do not for a second think I am bluffing. My only ask is simple: Order SNX-8112, Cuisinart coffee maker, either deliver it or refund me $79. That is the whole ask."
25,"Hi, my order has not arrived and it has been almost two weeks. Order number SNX-5591. I ordered a GE chest freezer which I really need for my household. The old one stopped working and my family has been managing without one since the order was placed. Tracking has not updated in over a week. Please either arrange delivery as soon as possible or process a refund. Thank you."
26,"Hi, just wanted to check on the status of my order SNX-9910. I placed it three days ago and the app still shows processing. No urgency, just wanted to make sure everything is moving along. Thanks."
27,"Hello, quick question - what is your standard return window for electronics? I bought a pair of headphones last week and I am thinking about returning them but wanted to confirm how many days I have before checking in store. Thanks in advance."
28,Hi there. I received my order SNX-7823 today and everything looks great. I just noticed the invoice in the box shows a different price than what I was charged at checkout. The difference is only a couple of dollars but wanted to flag it just in case. Could someone take a look when you get a chance? No rush.
29,"Hey, I placed an order yesterday evening - order number SNX-6651 - and I realized this morning I entered the wrong apartment number in my delivery address. The street and zip code are correct, just the unit number is wrong. Can this be updated before it ships? Happy to provide the correct address."
30,"Hi, I was just checking whether my recent return has been received on your end. I shipped it back about four days ago using the prepaid label you sent. The tracking shows it was delivered to your warehouse two days ago. Just wanted to confirm the refund is being processed. Order was SNX-4430. Thanks."
